time_local_start,survey_type
2019-04-09 00:50:00,borehole-borehole
2019-07-12 07:23:00,borehole-borehole
2019-07-16 00:54:00,borehole-borehole
2019-07-17 00:58:00,borehole-borehole
2019-07-18 03:23:00,borehole-borehole
2019-07-22 01:16:00,borehole-borehole
2019-07-23 01:34:00,borehole-borehole
2019-07-24 01:56:00,borehole-borehole
2019-07-25 01:43:00,borehole-borehole
2019-07-26 01:54:00,borehole-borehole
2019-07-29 01:28:00,borehole-borehole
2019-07-29 09:48:00,borehole-borehole
2019-07-30 01:21:00,borehole-borehole
2019-07-31 13:55:00,borehole-borehole
2019-08-01 02:51:00,borehole-borehole
2019-08-02 01:15:00,borehole-borehole
2019-08-07 09:02:00,borehole-borehole
2019-08-08 11:10:00,borehole-borehole
2019-08-09 09:00:00,borehole-borehole
2019-08-09 09:16:00,borehole-borehole
2019-08-09 09:45:00,borehole-borehole
2019-08-12 10:22:00,borehole-borehole
2019-08-13 11:56:00,borehole-borehole
2019-08-14 09:57:00,borehole-borehole
2019-08-14 11:15:00,borehole-borehole
2019-08-14 12:09:00,borehole-borehole
2019-08-14 13:28:00,borehole-borehole
2019-08-14 14:31:00,borehole-borehole
2019-08-14 15:49:00,borehole-borehole
2019-08-14 17:16:00,borehole-borehole
2019-08-14 18:23:00,borehole-borehole
2019-08-14 22:20:00,borehole-borehole
2019-08-15 09:53:00,borehole-borehole
2019-08-15 11:53:00,borehole-borehole
2019-08-15 12:29:00,borehole-borehole
2019-08-15 13:41:00,borehole-borehole
2019-08-15 14:17:00,borehole-borehole
2019-08-15 15:09:00,borehole-borehole
2019-08-15 16:39:00,borehole-borehole
2019-08-15 18:51:00,borehole-borehole
2019-08-15 19:22:00,borehole-borehole
2019-08-16 08:42:00,borehole-borehole
2019-08-16 09:26:00,borehole-borehole
2019-08-16 11:11:00,borehole-borehole
2019-08-16 12:18:00,borehole-borehole
2019-08-17 13:31:00,borehole-borehole
2019-08-17 13:50:00,borehole-borehole
2019-08-24 11:23:00,borehole-borehole
2019-08-27 15:20:00,borehole-borehole
2019-08-27 15:40:00,borehole-borehole
2019-08-28 09:44:00,borehole-borehole
2019-08-28 11:45:00,borehole-borehole
2019-09-10 08:00:00,borehole-borehole
2019-09-12 08:00:00,borehole-borehole
2019-09-12 16:04:00,borehole-borehole
2019-09-13 08:00:00,borehole-borehole
2019-09-14 08:00:00,borehole-borehole
2019-09-15 08:00:00,borehole-borehole
2019-09-16 08:00:00,borehole-borehole
2019-09-17 08:00:00,borehole-borehole
2019-09-18 08:00:00,borehole-borehole
2019-09-19 06:15:00,borehole-borehole
2019-09-19 22:00:00,borehole-borehole
2019-09-19 22:22:00,borehole-borehole
2019-09-20 00:45:00,borehole-borehole
2019-09-20 03:09:00,borehole-borehole
2019-09-20 04:17:00,borehole-borehole
2019-09-20 05:30:00,borehole-borehole
2019-09-20 07:42:00,borehole-borehole
2019-09-20 09:50:00,borehole-borehole
2019-09-20 11:13:00,borehole-borehole
2019-09-20 22:00:00,borehole-borehole
2019-09-20 22:22:00,borehole-borehole
2019-09-21 00:45:00,borehole-borehole
2019-09-21 03:11:00,borehole-borehole
2019-09-21 04:19:00,borehole-borehole
2019-09-21 05:34:00,borehole-borehole
2019-09-21 07:46:00,borehole-borehole
2019-09-21 09:54:00,borehole-borehole
2019-09-21 11:16:00,borehole-borehole
2019-09-21 22:00:00,borehole-borehole
2019-09-21 22:23:00,borehole-borehole
2019-09-22 00:45:00,borehole-borehole
2019-09-22 03:14:00,borehole-borehole
2019-09-22 04:22:00,borehole-borehole
2019-09-22 05:37:00,borehole-borehole
2019-09-22 07:50:00,borehole-borehole
2019-09-22 09:57:00,borehole-borehole
2019-09-22 11:20:00,borehole-borehole
2019-09-22 22:00:00,borehole-borehole
2019-09-22 22:22:00,borehole-borehole
2019-09-23 00:44:00,borehole-borehole
2019-09-23 02:26:00,borehole-borehole
2019-09-23 03:35:00,borehole-borehole
2019-09-23 04:49:00,borehole-borehole
2019-09-23 07:02:00,borehole-borehole
2019-09-23 09:09:00,borehole-borehole
2019-09-23 10:33:00,borehole-borehole
2019-09-23 22:00:00,borehole-borehole
2019-09-23 22:22:00,borehole-borehole
2019-09-24 00:44:00,borehole-borehole
2019-09-24 02:26:00,borehole-borehole
2019-09-24 03:35:00,borehole-borehole
2019-09-24 04:50:00,borehole-borehole
2019-09-24 07:03:00,borehole-borehole
2019-09-24 09:11:00,borehole-borehole
2019-09-24 10:35:00,borehole-borehole
2019-09-24 22:00:00,borehole-borehole
2019-09-24 22:22:00,borehole-borehole
2019-09-25 00:44:00,borehole-borehole
2019-09-25 03:12:00,borehole-borehole
2019-09-25 04:21:00,borehole-borehole
2019-09-25 05:36:00,borehole-borehole
2019-09-25 07:49:00,borehole-borehole
2019-09-25 09:56:00,borehole-borehole
2019-09-25 11:20:00,borehole-borehole
2019-09-25 22:00:00,borehole-borehole
2019-09-25 22:22:00,borehole-borehole
2019-09-26 00:45:00,borehole-borehole
2019-09-26 03:11:00,borehole-borehole
2019-09-26 04:20:00,borehole-borehole
2019-09-26 05:35:00,borehole-borehole
2019-09-26 07:47:00,borehole-borehole
2019-09-26 08:26:00,borehole-borehole
2019-09-26 09:49:00,borehole-borehole
2019-09-26 22:00:00,borehole-borehole
2019-09-26 22:23:00,borehole-borehole
2019-09-27 00:45:00,borehole-borehole
2019-09-27 03:11:00,borehole-borehole
2019-09-27 04:20:00,borehole-borehole
2019-09-27 05:34:00,borehole-borehole
2019-09-27 07:47:00,borehole-borehole
2019-09-27 09:54:00,borehole-borehole
2019-09-27 11:18:00,borehole-borehole
2019-09-27 22:00:00,borehole-borehole
2019-09-27 22:22:00,borehole-borehole
2019-09-28 00:44:00,borehole-borehole
2019-09-28 03:11:00,borehole-borehole
2019-09-28 04:20:00,borehole-borehole
2019-09-28 05:34:00,borehole-borehole
2019-09-28 07:47:00,borehole-borehole
2019-09-28 09:54:00,borehole-borehole
2019-09-28 11:18:00,borehole-borehole
2019-09-28 22:00:00,borehole-borehole
2019-09-28 22:22:00,borehole-borehole
2019-09-29 00:44:00,borehole-borehole
2019-09-29 03:10:00,borehole-borehole
2019-09-29 04:19:00,borehole-borehole
